0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:38:40 +0530] "GET /LmsDashboard/ApplyLeave.jsp?empId= HTTP/1.1" 500 3002
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:20 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:21 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:22 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:22 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:22 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:22 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:23 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:51:23 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:52:31 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:52:31 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:52:32 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:52:32 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:52:32 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:52:32 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [28/Sep/2023:07:52:33 +0530] "GET /LmsDashboard/ShowDetails.jsp?empId=1001 HTTP/1.1" 200 2482
